state,x,y
Alabama,122,-95
Alaska,-204,-170
Arizona,-216,-41
Arkansas,37,-39
California,-315,7
Colorado,-140,22
Connecticut,292,86
Delaware,276,43
Florida,194,-131
Georgia,170,-91
Hawaii,-317,-143
Idaho,-232,109
Illinois,78,43
Indiana,122,59
Iowa,16,73
Kansas,-60,10
Kentucky,122,-2
Louisiana,48,-126
Maine,309,178
Maryland,246,47
Massachusetts,300,110
Michigan,117,121
Minnesota,6,167
Mississippi,83,-74
Missouri,34,-0.0
Montana,-188,165
Nebraska,-77,68
Nevada,-244,49
New Hampshire,229,131
New Jersey,282,67
New Mexico,-161,-47
New York,223,103
North Carolina,192,-30
North Dakota,-72,163
Ohio,160,50
Oklahoma,-38,-39
Oregon,-297,137
Pennsylvania,208,67
Rhode Island,315,94
South Carolina,208,-57
South Dakota,-78,114
Tennessee,102,-29
Texas,-74,-89
Utah,-186,45
Vermont,282,154
Virginia,208,-3
Washington,-296,199
West Virginia,190,18
Wisconsin,56,120
Wyoming,-158,99